category,placeholder_name,selected_title,page_url,target_filename,download_status,notes
Music,music_home,The Magical Woods,https://pixabay.com/music/main-title-the-magical-woods-21393/?utm_source=chatgpt.com,music_home.mp3,,
Music,music_biome_map,Game Music Puzzle Strategy Arcade Technology,https://pixabay.com/music/video-games-game-music-puzzle-strategy-arcade-technology-301226/,music_biome_map.mp3,,
Music,music_level_select,Game Music Puzzle Strategy Arcade Technology,https://pixabay.com/music/video-games-game-music-puzzle-strategy-arcade-technology-301226/,music_level_select.mp3,,
Music,music_training_range,puzzle game loop,https://pixabay.com/music/main-title-puzzle-game-loop-bright-casual-video-game-music-249201/?utm_source=chatgpt.com,music_training_range.mp3,,
Music,music_fog_marsh,RPG Mistic Music Contrasting and Looped,https://pixabay.com/music/fantasy-dreamy-childrens-rpg-mistic-music-contrasting-and-looped-320585/,music_fog_marsh.mp3,,
Music,music_bioluminescence,Magic Forest,https://pixabay.com/music/mystery-magic-forest-473582/,music_bioluminescence.mp3,,
Music,music_frozen_mirrors,Winter Fairy Dance - Orchestral With Bells And Choir,https://pixabay.com/music/christmas-winter-fairy-dance-orchestral-with-bells-and-choir-128694/?utm_source=chatgpt.com,music_frozen_mirrors.mp3,,
Music,music_ruins,A Desert Tale - Ethnic & Fantasy Background Music,https://pixabay.com/music/adventure-a-desert-tale-ethnic-amp-fantasy-background-music-109862/?utm_source=chatgpt.com,music_ruins.mp3,,
Music,music_the_underside,Lost in the Crystal Caves - Instrumental,https://pixabay.com/music/mystery-lost-in-the-crystal-caves-instrumental-170032/?utm_source=chatgpt.com,music_the_underside.mp3,,
Music,music_coral_basin,aquatic downtime,https://pixabay.com/music/ambient-aquatic-downtime-363761/?utm_source=chatgpt.com,music_coral_basin.mp3,,
Music,music_quicksand,harmony of the sands,https://pixabay.com/music/world-harmony-of-the-sands-258577/?utm_source=chatgpt.com,music_quicksand.mp3,,
Music,music_the_delta,tense music from game show,https://pixabay.com/sound-effects/musical-tense-music-from-game-show-460826/,music_the_delta.mp3,,
Music,music_victory,Triumph Celebration - Upbeat and Fast Music,https://pixabay.com/music/upbeat-triumph-celebration-upbeat-and-fast-music-251992/,music_victory.mp3,,
Music,music_loss,Sad Dramatic Music 3,https://pixabay.com/music/solo-piano-sad-dramatic-music-3-491493/,music_loss.mp3,,
UI,ui_button_tap,UI click,https://pixabay.com/sound-effects/film-special-effects-ui-click-43196/,ui_button_tap.mp3,,
UI,ui_button_back,UI click,https://pixabay.com/sound-effects/film-special-effects-ui-click-43196/,ui_button_back.mp3,,
UI,ui_open_settings,Magic Button Click,https://pixabay.com/sound-effects/technology-magic-button-click-453255/,ui_open_settings.mp3,,
UI,ui_close_sheet,UI click,https://pixabay.com/sound-effects/film-special-effects-ui-click-43196/,ui_close_sheet.mp3,,
UI,ui_toggle_on,Ding SFX,https://pixabay.com/sound-effects/technology-ding-sfx-472366/,ui_toggle_on.mp3,,
UI,ui_toggle_off,UI Pop sound,https://pixabay.com/sound-effects/film-special-effects-ui-pop-sound-316482/,ui_toggle_off.mp3,,
Gameplay,sfx_scan_safe,UI click,https://pixabay.com/sound-effects/film-special-effects-ui-click-43196/,sfx_scan_safe.mp3,,
Gameplay,sfx_scan_safe_big,XP Gain Magic Tone,https://pixabay.com/sound-effects/technology-xp-gain-magic-tone-453274/,sfx_scan_safe_big.mp3,,
Gameplay,sfx_cascade_wash,Simple Whoosh,https://pixabay.com/sound-effects/film-special-effects-simple-whoosh-382724/,sfx_cascade_wash.mp3,,
Gameplay,sfx_tag_place,Ding,https://pixabay.com/sound-effects/film-special-effects-ding-402325/,sfx_tag_place.mp3,,
Gameplay,sfx_tag_remove,UI Pop sound,https://pixabay.com/sound-effects/film-special-effects-ui-pop-sound-316482/,sfx_tag_remove.mp3,,
